learning_rate,threshold_euclid,numOfEpochs,batch_size,numOfThreads,TestAccuracy,TestRecall,TestPrecision,TestF1,ValidAccuracy,ValidRecall,ValidPrecision,ValidF1,Time-CPU,Time-Real,
0.10000,0.100, 5,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.13, 2.05,
0.10000,0.100, 5,  512,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,1.15, 2.38,
0.10000,0.100, 5,  512,20, 18.93, 87.56, 12.10, 21.26, 18.94, 86.89, 12.03, 21.13,1.14, 2.47,
0.10000,0.100, 5, 1024,10, 87.48,  0.00,  0.00,  0.00, 87.47,  0.00,  0.00,  0.00,1.11, 1.48,
0.10000,0.100, 5, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.12, 1.30,
0.10000,0.100, 5, 1024,20, 85.49,  8.95, 26.31, 13.36, 85.44,  9.07, 26.20, 13.47,1.10, 1.24,
0.10000,0.100, 5, 2056,10, 87.43,  0.57, 33.11,  1.13, 87.43,  0.54, 32.39,  1.06,1.10, 1.26,
0.10000,0.100, 5, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.11, 1.25,
0.10000,0.100, 5, 2056,20, 63.66, 39.01, 14.52, 21.16, 63.82, 38.68, 14.50, 21.09,1.13, 1.31,
0.10000,0.100,10,  512,10, 87.50,  0.02,100.00,  0.05, 87.50,  0.04,100.00,  0.07,2.19, 2.74,
0.10000,0.100,10,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.16, 2.37,
0.10000,0.100,10,  512,20, 12.68, 99.80, 12.50, 22.22, 12.69, 99.73, 12.50, 22.21,2.19, 2.39,
0.10000,0.100,10, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.11, 2.26,
0.10000,0.100,10, 1024,15, 87.58,  1.45, 63.27,  2.84, 87.58,  1.43, 64.21,  2.79,2.17, 2.38,
0.10000,0.100,10, 1024,20, 87.42,  0.16, 16.67,  0.32, 87.41,  0.14, 13.64,  0.28,2.37, 2.60,
0.10000,0.100,10, 2056,10, 85.88, 23.13, 39.07, 29.06, 85.76, 22.39, 38.15, 28.22,2.11, 2.30,
0.10000,0.100,10, 2056,15, 12.78, 99.93, 12.53, 22.27, 12.76, 99.88, 12.52, 22.25,2.10, 2.23,
0.10000,0.100,10, 2056,20, 71.83, 28.64, 15.68, 20.27, 71.89, 28.68, 15.74, 20.32,2.10, 2.31,
0.10000,0.100,20,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.19, 4.41,
0.10000,0.100,20,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.20, 4.43,
0.10000,0.100,20,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.34, 4.82,
0.10000,0.100,20, 1024,10, 22.21, 97.47, 13.59, 23.85, 21.94, 97.33, 13.54, 23.77,4.21, 4.49,
0.10000,0.100,20, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.19, 4.43,
0.10000,0.100,20, 1024,20, 88.23,  8.60, 75.46, 15.44, 88.19,  8.25, 75.24, 14.86,4.15, 4.40,
0.10000,0.100,20, 2056,10, 63.48, 59.28, 19.08, 28.86, 63.34, 59.32, 19.02, 28.80,4.09, 4.32,
0.10000,0.100,20, 2056,15, 17.36, 99.52, 13.09, 23.14, 17.27, 99.50, 13.08, 23.12,4.06, 4.26,
0.10000,0.100,20, 2056,20, 82.59, 25.69, 28.34, 26.95, 82.62, 25.17, 28.17, 26.59,4.11, 4.31,
0.10000,0.100,50,  512,10, 87.95,  3.60, 99.68,  6.95, 87.99,  3.97,100.00,  7.63,10.41, 10.97,
0.10000,0.100,50,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,10.31, 10.42,
0.10000,0.100,50,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,5.03, 5.09,
0.10000,0.100,50, 1024,10, 27.99, 90.45, 13.77, 23.90, 27.85, 90.34, 13.73, 23.84,10.22, 10.33,
0.10000,0.100,50, 1024,15, 16.68, 99.91, 13.04, 23.06, 16.61, 99.84, 13.02, 23.04,10.18, 10.28,
0.10000,0.100,50, 1024,20, 88.39, 20.44, 60.60, 30.57, 88.40, 20.86, 60.50, 31.02,10.29, 10.40,
0.10000,0.100,50, 2056,10, 84.97, 32.55, 38.14, 35.12, 85.03, 32.66, 38.38, 35.29,10.12, 10.24,
0.10000,0.100,50, 2056,15, 80.37, 40.23, 29.26, 33.88, 80.38, 40.16, 29.26, 33.85,10.64, 10.75,
0.10000,0.100,50, 2056,20, 65.18, 46.41, 17.10, 24.99, 65.08, 46.09, 16.98, 24.81,10.14, 10.25,
0.10000,0.001, 5,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.14, 1.16,
0.10000,0.001, 5,  512,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,1.12, 1.14,
0.10000,0.001, 5,  512,20, 18.93, 87.56, 12.10, 21.26, 18.94, 86.89, 12.03, 21.13,1.13, 1.16,
0.10000,0.001, 5, 1024,10, 87.48,  0.00,  0.00,  0.00, 87.47,  0.00,  0.00,  0.00,1.11, 1.12,
0.10000,0.001, 5, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.13, 1.15,
0.10000,0.001, 5, 1024,20, 85.49,  8.95, 26.31, 13.36, 85.44,  9.07, 26.20, 13.47,1.11, 1.15,
0.10000,0.001, 5, 2056,10, 87.43,  0.57, 33.11,  1.13, 87.43,  0.54, 32.39,  1.06,1.08, 1.19,
0.10000,0.001, 5, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.13, 2.26,
0.10000,0.001, 5, 2056,20, 63.66, 39.01, 14.52, 21.16, 63.82, 38.68, 14.50, 21.09,1.12, 2.28,
0.10000,0.001,10,  512,10, 87.50,  0.02,100.00,  0.05, 87.50,  0.04,100.00,  0.07,2.21, 3.06,
0.10000,0.001,10,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.26, 2.32,
0.10000,0.001,10,  512,20, 12.68, 99.80, 12.50, 22.22, 12.69, 99.73, 12.50, 22.21,2.20, 2.25,
0.10000,0.001,10, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.30, 2.34,
0.10000,0.001,10, 1024,15, 87.58,  1.45, 63.27,  2.84, 87.58,  1.43, 64.21,  2.79,2.10, 2.46,
0.10000,0.001,10, 1024,20, 87.42,  0.16, 16.67,  0.32, 87.41,  0.14, 13.64,  0.28,2.41, 2.45,
0.10000,0.001,10, 2056,10, 85.88, 23.13, 39.07, 29.06, 85.76, 22.39, 38.15, 28.22,2.23, 2.27,
0.10000,0.001,10, 2056,15, 12.78, 99.93, 12.53, 22.27, 12.76, 99.88, 12.52, 22.25,2.08, 2.13,
0.10000,0.001,10, 2056,20, 71.83, 28.64, 15.68, 20.27, 71.89, 28.68, 15.74, 20.32,2.11, 2.16,
0.10000,0.001,20,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.26, 4.31,
0.10000,0.001,20,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.27, 4.37,
0.10000,0.001,20,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.27, 4.32,
0.10000,0.001,20, 1024,10, 22.21, 97.47, 13.59, 23.85, 21.94, 97.33, 13.54, 23.77,4.16, 4.23,
0.10000,0.001,20, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.14, 4.22,
0.10000,0.001,20, 1024,20, 88.23,  8.60, 75.46, 15.44, 88.19,  8.25, 75.24, 14.86,4.17, 4.21,
0.10000,0.001,20, 2056,10, 63.48, 59.28, 19.08, 28.86, 63.34, 59.32, 19.02, 28.80,4.09, 4.13,
0.10000,0.001,20, 2056,15, 17.36, 99.52, 13.09, 23.14, 17.27, 99.50, 13.08, 23.12,4.06, 4.13,
0.10000,0.001,20, 2056,20, 82.59, 25.69, 28.34, 26.95, 82.62, 25.17, 28.17, 26.59,4.11, 4.16,
0.10000,0.001,50,  512,10, 87.95,  3.60, 99.68,  6.95, 87.99,  3.97,100.00,  7.63,10.40, 10.51,
0.10000,0.001,50,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,10.42, 10.56,
0.10000,0.001,50,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.01,100.00,  0.02,10.36, 10.47,
0.10000,0.001,50, 1024,10, 27.99, 90.45, 13.77, 23.90, 27.85, 90.34, 13.73, 23.84,10.19, 10.30,
0.10000,0.001,50, 1024,15, 16.68, 99.91, 13.04, 23.06, 16.61, 99.84, 13.02, 23.04,10.25, 10.34,
0.10000,0.001,50, 1024,20, 88.39, 20.44, 60.60, 30.57, 88.40, 20.86, 60.50, 31.02,10.41, 11.11,
0.10000,0.001,50, 2056,10, 84.97, 32.55, 38.14, 35.12, 85.03, 32.66, 38.38, 35.29,10.10, 10.35,
0.10000,0.001,50, 2056,15, 80.37, 40.23, 29.26, 33.88, 80.38, 40.16, 29.26, 33.85,10.60, 11.21,
0.10000,0.001,50, 2056,20, 65.18, 46.41, 17.10, 24.99, 65.08, 46.09, 16.98, 24.81,10.74, 10.90,
0.10000,0.000, 5,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.18, 1.22,
0.10000,0.000, 5,  512,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,1.12, 1.14,
0.10000,0.000, 5,  512,20, 18.93, 87.56, 12.10, 21.26, 18.94, 86.89, 12.03, 21.13,1.16, 1.18,
0.10000,0.000, 5, 1024,10, 87.48,  0.00,  0.00,  0.00, 87.47,  0.00,  0.00,  0.00,1.09, 1.12,
0.10000,0.000, 5, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.11, 1.12,
0.10000,0.000, 5, 1024,20, 85.49,  8.95, 26.31, 13.36, 85.44,  9.07, 26.20, 13.47,1.09, 1.12,
0.10000,0.000, 5, 2056,10, 87.43,  0.57, 33.11,  1.13, 87.43,  0.54, 32.39,  1.06,1.09, 1.11,
0.10000,0.000, 5, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.09, 1.10,
0.10000,0.000, 5, 2056,20, 63.66, 39.01, 14.52, 21.16, 63.82, 38.68, 14.50, 21.09,1.09, 1.12,
0.10000,0.000,10,  512,10, 87.50,  0.02,100.00,  0.05, 87.50,  0.04,100.00,  0.07,2.23, 2.27,
0.10000,0.000,10,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.20, 2.23,
0.10000,0.000,10,  512,20, 12.68, 99.80, 12.50, 22.22, 12.69, 99.73, 12.50, 22.21,2.14, 2.19,
0.10000,0.000,10, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.64, 2.67,
0.10000,0.000,10, 1024,15, 87.58,  1.45, 63.27,  2.84, 87.58,  1.43, 64.21,  2.79,2.27, 3.47,
0.10000,0.000,10, 1024,20, 87.42,  0.16, 16.67,  0.32, 87.41,  0.14, 13.64,  0.28,2.21, 4.46,
0.10000,0.000,10, 2056,10, 85.88, 23.13, 39.07, 29.06, 85.76, 22.39, 38.15, 28.22,2.11, 2.44,
0.10000,0.000,10, 2056,15, 12.78, 99.93, 12.53, 22.27, 12.76, 99.88, 12.52, 22.25,2.08, 2.10,
0.10000,0.000,10, 2056,20, 71.83, 28.64, 15.68, 20.27, 71.89, 28.68, 15.74, 20.32,2.09, 2.13,
0.10000,0.000,20,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.20, 4.59,
0.10000,0.000,20,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.19, 4.24,
0.10000,0.000,20,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.48, 4.55,
0.10000,0.000,20, 1024,10, 22.21, 97.47, 13.59, 23.85, 21.94, 97.33, 13.54, 23.77,4.21, 4.26,
0.10000,0.000,20, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.16, 4.25,
0.10000,0.000,20, 1024,20, 88.23,  8.60, 75.46, 15.44, 88.19,  8.25, 75.24, 14.86,4.28, 4.35,
0.10000,0.000,20, 2056,10, 63.48, 59.28, 19.08, 28.86, 63.34, 59.32, 19.02, 28.80,4.11, 4.18,
0.10000,0.000,20, 2056,15, 17.36, 99.52, 13.09, 23.14, 17.27, 99.50, 13.08, 23.12,4.05, 4.10,
0.10000,0.000,20, 2056,20, 82.59, 25.69, 28.34, 26.95, 82.62, 25.17, 28.17, 26.59,4.12, 4.16,
0.10000,0.000,50,  512,10, 87.95,  3.60, 99.68,  6.95, 87.99,  3.97,100.00,  7.63,10.68, 10.81,
0.10000,0.000,50,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,10.25, 10.37,
0.10000,0.000,50,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.01,100.00,  0.02,10.55, 10.68,
0.10000,0.000,50, 1024,10, 27.99, 90.45, 13.77, 23.90, 27.85, 90.34, 13.73, 23.84,13.67, 13.80,
0.10000,0.000,50, 1024,15, 16.68, 99.91, 13.04, 23.06, 16.61, 99.84, 13.02, 23.04,13.43, 13.59,
0.10000,0.000,50, 1024,20, 88.39, 20.44, 60.60, 30.57, 88.40, 20.86, 60.50, 31.02,12.39, 12.54,
0.10000,0.000,50, 2056,10, 84.97, 32.55, 38.14, 35.12, 85.03, 32.66, 38.38, 35.29,12.10, 12.24,
0.10000,0.000,50, 2056,15, 80.37, 40.23, 29.26, 33.88, 80.38, 40.16, 29.26, 33.85,11.90, 12.04,
0.10000,0.000,50, 2056,20, 65.18, 46.41, 17.10, 24.99, 65.08, 46.09, 16.98, 24.81,12.15, 12.27,
0.10000,0.000, 5,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.32, 1.36,
0.10000,0.000, 5,  512,15, 12.50,100.00, 12.50, 22.22, 12.50,100.00, 12.50, 22.22,1.60, 1.75,
0.10000,0.000, 5,  512,20, 18.93, 87.56, 12.10, 21.26, 18.94, 86.89, 12.03, 21.13,1.50, 1.66,
0.10000,0.000, 5, 1024,10, 87.48,  0.00,  0.00,  0.00, 87.47,  0.00,  0.00,  0.00,1.38, 2.00,
0.10000,0.000, 5, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.33, 1.57,
0.10000,0.000, 5, 1024,20, 85.49,  8.95, 26.31, 13.36, 85.44,  9.07, 26.20, 13.47,1.30, 1.46,
0.10000,0.000, 5, 2056,10, 87.43,  0.57, 33.11,  1.13, 87.43,  0.54, 32.39,  1.06,1.36, 1.56,
0.10000,0.000, 5, 2056,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,1.32, 1.46,
0.10000,0.000, 5, 2056,20, 63.66, 39.01, 14.52, 21.16, 63.82, 38.68, 14.50, 21.09,1.39, 1.61,
0.10000,0.000,10,  512,10, 87.50,  0.02,100.00,  0.05, 87.50,  0.04,100.00,  0.07,2.70, 2.94,
0.10000,0.000,10,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.54, 2.74,
0.10000,0.000,10,  512,20, 12.68, 99.80, 12.50, 22.22, 12.69, 99.73, 12.50, 22.21,2.63, 2.88,
0.10000,0.000,10, 1024,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,2.56, 2.76,
0.10000,0.000,10, 1024,15, 87.58,  1.45, 63.27,  2.84, 87.58,  1.43, 64.21,  2.79,2.52, 2.72,
0.10000,0.000,10, 1024,20, 87.42,  0.16, 16.67,  0.32, 87.41,  0.14, 13.64,  0.28,2.51, 2.71,
0.10000,0.000,10, 2056,10, 85.88, 23.13, 39.07, 29.06, 85.76, 22.39, 38.15, 28.22,2.59, 2.81,
0.10000,0.000,10, 2056,15, 12.78, 99.93, 12.53, 22.27, 12.76, 99.88, 12.52, 22.25,2.45, 2.66,
0.10000,0.000,10, 2056,20, 71.83, 28.64, 15.68, 20.27, 71.89, 28.68, 15.74, 20.32,2.50, 2.71,
0.10000,0.000,20,  512,10, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,5.05, 5.32,
0.10000,0.000,20,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,5.00, 5.24,
0.10000,0.000,20,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,5.15, 9.12,
0.10000,0.000,20, 1024,10, 22.21, 97.47, 13.59, 23.85, 21.94, 97.33, 13.54, 23.77,4.98, 5.39,
0.10000,0.000,20, 1024,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,4.98, 5.76,
0.10000,0.000,20, 1024,20, 88.23,  8.60, 75.46, 15.44, 88.19,  8.25, 75.24, 14.86,4.98, 5.41,
0.10000,0.000,20, 2056,10, 63.48, 59.28, 19.08, 28.86, 63.34, 59.32, 19.02, 28.80,5.03, 5.44,
0.10000,0.000,20, 2056,15, 17.36, 99.52, 13.09, 23.14, 17.27, 99.50, 13.08, 23.12,4.93, 5.43,
0.10000,0.000,20, 2056,20, 82.59, 25.69, 28.34, 26.95, 82.62, 25.17, 28.17, 26.59,4.97, 5.41,
0.10000,0.000,50,  512,10, 87.95,  3.60, 99.68,  6.95, 87.99,  3.97,100.00,  7.63,12.49, 13.60,
0.10000,0.000,50,  512,15, 87.50,  0.00,  0.00,  0.00, 87.50,  0.00,  0.00,  0.00,12.32, 13.45,
0.10000,0.000,50,  512,20, 87.50,  0.00,  0.00,  0.00, 87.50,  0.01,100.00,  0.02,10.34, 11.00,
0.10000,0.000,50, 1024,10, 27.99, 90.45, 13.77, 23.90, 27.85, 90.34, 13.73, 23.84,10.05, 10.69,
0.10000,0.000,50, 1024,15, 16.68, 99.91, 13.04, 23.06, 16.61, 99.84, 13.02, 23.04,10.00, 10.65,
0.10000,0.000,50, 1024,20, 88.39, 20.44, 60.60, 30.57, 88.40, 20.86, 60.50, 31.02,10.02, 10.68,
0.10000,0.000,50, 2056,10, 84.97, 32.55, 38.14, 35.12, 85.03, 32.66, 38.38, 35.29,9.87, 10.51,
