learning_rate,threshold_euclid,threshold_retrain,numOfEpochs,batch_size,numOfThreads,ValidScore-1,ValidScore-2,ValidScore-3,TestAccuracy,TestRecall,TestPrecision,TestF1,Time-CPU,Time-Real,
0.10000,0.10000,0.010, 5,  512,10, 34.20, 92.30, 64.56, 64.85, 67.83, 13.77,2289.07,2.23, 6.14,
0.10000,0.10000,0.010, 5,  512,15, 76.49, 62.21, 76.49, 76.95, 27.44, 10.78,1548.13,2.56, 4.28,
0.10000,0.10000,0.010, 5,  512,20, 66.89, 58.44, 86.80, 86.67, 18.11, 16.54,1728.72,2.01, 2.44,
0.10000,0.10000,0.010, 5, 1024,10, 90.06, 65.96, 58.97, 58.62, 74.23, 12.66,2163.15,2.27, 2.62,
0.10000,0.10000,0.010, 5, 1024,15, 86.75, 80.47, 81.72, 81.96, 21.45, 12.09,1546.18,2.19, 3.04,
0.10000,0.10000,0.010, 5, 1024,20, 92.15, 88.94, 92.06, 92.16,  1.67, 31.58,317.46,2.14, 2.24,
0.10000,0.10000,0.010, 5, 2056,10, 91.12, 81.50, 90.11, 90.01,  5.43, 13.36,772.28,2.30, 2.38,
0.10000,0.10000,0.010, 5, 2056,15, 88.43, 86.87, 91.37, 91.24,  0.00,  0.00,  0.00,2.82, 2.95,
0.10000,0.10000,0.010, 5, 2056,20, 90.55, 92.21, 68.00, 68.65, 68.52, 15.41,2516.62,2.18, 2.25,
0.10000,0.10000,0.010,10,  512,10, 85.20, 72.07, 67.17, 67.10, 50.70, 11.81,1916.29,2.38, 2.46,
0.10000,0.10000,0.010,10,  512,15, 63.11, 77.76, 70.71, 70.48, 35.65, 10.04,1567.19,2.37, 2.52,
0.10000,0.10000,0.010,10,  512,20, 58.44, 86.80, 41.84, 43.44, 87.88, 10.84,1929.37,2.21, 2.30,
0.10000,0.10000,0.010,10, 1024,10, 65.96, 89.82, 90.71, 90.60,  0.00,  0.00,  0.00,2.86, 2.98,
0.10000,0.10000,0.010,10, 1024,15, 80.47, 79.70, 78.09, 78.47, 30.78, 12.75,1803.35,2.37, 2.47,
0.10000,0.10000,0.010,10, 1024,20, 88.94, 86.76, 60.86, 61.78, 92.06, 15.85,2704.03,2.74, 2.85,
0.10000,0.10000,0.010,10, 2056,10, 81.50, 51.89, 62.78, 63.08, 92.76, 16.40,2787.78,3.21, 3.89,
0.10000,0.10000,0.010,10, 2056,15, 86.87, 83.29, 86.07, 86.70, 23.40, 19.56,2130.63,3.18, 3.81,
0.10000,0.10000,0.010,10, 2056,20, 92.21, 77.41, 77.22, 76.95, 47.91, 16.22,2423.39,3.03, 4.57,
0.10000,0.10000,0.010,20,  512,10, 72.07, 67.17, 66.54, 66.30, 55.99, 12.44,2035.96,2.76, 3.17,
0.10000,0.10000,0.010,20,  512,15, 63.11, 77.76, 77.32, 77.31, 25.91, 10.50,1493.98,2.48, 3.06,
0.10000,0.10000,0.010,20,  512,20, 86.80, 41.84, 74.54, 74.62, 47.35, 14.59,2230.24,2.49, 3.54,
0.10000,0.10000,0.010,20, 1024,10, 89.82, 72.43, 47.47, 47.69, 80.64, 10.88,1917.22,4.04, 4.76,
0.10000,0.10000,0.010,20, 1024,15, 79.70, 78.09, 82.26, 82.55, 21.31, 12.57,1581.40,3.11, 4.61,
0.10000,0.10000,0.010,20, 1024,20, 86.76, 92.30, 54.75, 55.76, 94.85, 14.27,2480.42,4.00, 4.70,
0.10000,0.10000,0.010,20, 2056,10, 51.89, 50.31, 88.51, 88.72, 24.93, 25.83,2537.21,3.91, 5.17,
0.10000,0.10000,0.010,20, 2056,15, 83.29, 84.06, 83.32, 83.90, 31.89, 18.42,2335.54,3.97, 4.73,
0.10000,0.10000,0.010,20, 2056,20, 77.41, 89.36, 91.55, 91.45,  5.29, 24.36,869.57,4.02, 4.72,
0.10000,0.10000,0.010,50,  512,10, 72.07, 67.17, 66.54, 66.30, 55.99, 12.44,2035.96,2.77, 3.59,
0.10000,0.10000,0.010,50,  512,15, 63.11, 77.76, 77.32, 77.31, 25.91, 10.50,1493.98,2.36, 3.41,
0.10000,0.10000,0.010,50,  512,20, 86.80, 41.84, 74.54, 74.62, 47.35, 14.59,2230.24,2.39, 3.23,
0.10000,0.10000,0.010,50, 1024,10, 72.43, 46.27, 45.03, 45.88, 81.20, 10.60,1875.50,4.55, 6.42,
0.10000,0.10000,0.010,50, 1024,15, 79.70, 78.09, 82.26, 82.55, 21.31, 12.57,1581.40,2.92, 3.65,
0.10000,0.10000,0.010,50, 1024,20, 92.17, 91.88, 90.94, 90.57, 10.86, 24.53,1505.79,6.92, 7.83,
0.10000,0.10000,0.010,50, 2056,10, 50.31, 92.31, 85.06, 85.93, 67.27, 30.94,4238.70,7.15, 9.89,
0.10000,0.10000,0.010,50, 2056,15, 84.17, 85.34, 72.30, 72.23, 67.13, 16.98,2710.91,4.94, 10.76,
0.10000,0.10000,0.010,50, 2056,20, 52.23, 43.69, 92.11, 92.07,  3.20, 33.82,585.24,6.29, 7.91,
0.10000,0.10000,0.020, 5,  512,10, 72.48, 85.20, 69.44, 69.44, 47.77, 12.16,1938.95,2.20, 2.72,
0.10000,0.10000,0.020, 5,  512,15, 78.08, 63.11, 77.76, 76.97, 27.44, 10.79,1549.35,1.99, 2.14,
0.10000,0.10000,0.020, 5,  512,20, 66.89, 58.44, 86.80, 86.67, 18.11, 16.54,1728.72,2.00, 2.20,
0.10000,0.10000,0.020, 5, 1024,10, 90.06, 65.96, 58.97, 58.62, 74.23, 12.66,2163.15,2.30, 2.75,
0.10000,0.10000,0.020, 5, 1024,15, 86.75, 80.47, 81.72, 81.96, 21.45, 12